n,k,k_type,heuristic_time,heuristic_result
10,0,0,0.000289202,FALSE
10,21,k,0.000138998,TRUE
10,10,k/2,0.000170231,TRUE
10,11,random,0.000208855,TRUE
10,0,0,0.000195265,FALSE
10,20,k,0.000168324,TRUE
10,10,k/2,0.000159979,TRUE
10,0,random,0.000128031,FALSE
10,0,0,0.000232935,FALSE
10,19,k,0.000154018,TRUE
10,9,k/2,0.000164986,TRUE
10,14,random,0.000211,TRUE
10,0,0,0.000237703,FALSE
10,19,k,0.000354767,TRUE
10,9,k/2,0.000291109,TRUE
10,10,random,0.000169277,TRUE
10,0,0,0.000188828,FALSE
10,19,k,0.000183105,TRUE
10,9,k/2,0.000182152,TRUE
10,15,random,0.000143766,TRUE
10,0,0,0.000213146,FALSE
10,19,k,0.00030899,TRUE
10,9,k/2,0.000852823,TRUE
10,14,random,0.000418901,TRUE
10,0,0,0.000201941,FALSE
10,28,k,0.000194788,TRUE
10,14,k/2,0.000228167,TRUE
10,7,random,0.000188112,FALSE
10,0,0,0.000151157,FALSE
10,23,k,0.000185013,TRUE
10,11,k/2,0.000321865,TRUE
10,1,random,0.000212908,FALSE
10,0,0,0.000165939,FALSE
10,27,k,0.000297785,TRUE
10,13,k/2,0.000357151,TRUE
10,12,random,0.000259876,TRUE
10,0,0,0.000171185,FALSE
10,24,k,0.0001688,TRUE
10,12,k/2,0.000291824,TRUE
10,18,random,0.000260115,TRUE
10,0,0,0.000117779,FALSE
10,29,k,0.000146866,TRUE
10,14,k/2,0.000164032,TRUE
10,3,random,0.00022912,FALSE
10,0,0,0.000211,FALSE
10,23,k,0.000121832,TRUE
10,11,k/2,0.000149012,TRUE
10,4,random,0.000215054,FALSE
10,0,0,0.000196218,FALSE
10,20,k,0.000293732,TRUE
10,10,k/2,0.000180006,TRUE
10,12,random,0.000306129,TRUE
10,0,0,0.000135183,FALSE
10,26,k,7.92E-05,TRUE
10,13,k/2,0.000147104,TRUE
10,25,random,0.000170946,TRUE
10,0,0,0.000120878,FALSE
10,20,k,0.00011611,TRUE
10,10,k/2,0.000113964,TRUE
10,19,random,0.000190973,TRUE
10,0,0,0.000215054,FALSE
10,29,k,0.000166893,TRUE
10,14,k/2,0.00019598,TRUE
10,17,random,0.000190973,TRUE
10,0,0,0.000280142,FALSE
10,19,k,0.000252008,TRUE
10,9,k/2,0.000291109,TRUE
10,9,random,0.000216961,TRUE
10,0,0,0.00020504,FALSE
10,22,k,0.000161171,TRUE
10,11,k/2,0.000162125,TRUE
10,11,random,0.000182867,TRUE
10,0,0,0.000302076,FALSE
10,19,k,0.000201941,TRUE
10,9,k/2,0.000138044,TRUE
10,19,random,0.000142097,TRUE
10,0,0,0.000166893,FALSE
10,19,k,0.000164032,TRUE
10,9,k/2,0.00014019,TRUE
10,15,random,0.000228167,TRUE
10,0,0,0.000235081,FALSE
10,25,k,0.000244141,TRUE
10,12,k/2,0.000150204,TRUE
10,5,random,0.00013113,FALSE
10,0,0,0.00039196,FALSE
10,20,k,0.000252247,TRUE
10,10,k/2,0.000239134,TRUE
10,14,random,0.000208855,TRUE
10,0,0,0.001889944,FALSE
10,22,k,0.000203133,TRUE
10,11,k/2,0.000120878,TRUE
10,22,random,0.000148773,TRUE
10,0,0,0.000153065,FALSE
10,20,k,0.000154018,TRUE
10,10,k/2,0.000159979,TRUE
10,13,random,0.000121117,TRUE
10,0,0,0.00014329,FALSE
10,23,k,0.000120163,TRUE
10,11,k/2,0.000149965,TRUE
10,20,random,7.99E-05,TRUE
10,0,0,0.000127077,FALSE
10,22,k,0.012995243,TRUE
10,11,k/2,0.000255823,TRUE
10,16,random,0.00019002,TRUE
10,0,0,0.000181913,FALSE
10,16,k,0.000162125,TRUE
10,8,k/2,0.000164986,TRUE
10,4,random,0.000123024,FALSE
10,0,0,0.000210762,FALSE
10,27,k,0.002966166,TRUE
10,13,k/2,0.000259876,TRUE
10,24,random,0.000157833,TRUE
10,0,0,0.000336885,FALSE
10,20,k,0.000458002,TRUE
10,10,k/2,0.000308037,TRUE
10,2,random,0.000339985,FALSE
10,0,0,0.000242233,FALSE
10,18,k,0.000241041,TRUE
10,9,k/2,0.000333786,TRUE
10,18,random,0.000251055,TRUE
10,0,0,0.000218153,FALSE
10,26,k,0.000221968,TRUE
10,13,k/2,0.000153065,TRUE
10,5,random,0.000226259,FALSE
10,0,0,0.000228167,FALSE
10,24,k,0.000331163,TRUE
10,12,k/2,0.000265121,TRUE
10,5,random,0.000214815,FALSE
10,0,0,0.000135899,FALSE
10,21,k,0.000285149,TRUE
10,10,k/2,0.000373125,TRUE
10,16,random,0.000415087,TRUE
10,0,0,0.000309944,FALSE
10,18,k,0.000449181,TRUE
10,9,k/2,0.000212193,TRUE
10,5,random,0.000262022,FALSE
10,0,0,0.000412941,FALSE
10,22,k,0.000354767,TRUE
10,11,k/2,0.000346184,TRUE
10,22,random,0.00036788,TRUE
10,0,0,0.000138044,FALSE
10,21,k,0.000120878,TRUE
10,10,k/2,0.000193119,TRUE
10,10,random,0.000204086,TRUE
10,0,0,0.000196934,FALSE
10,22,k,0.000483036,TRUE
10,11,k/2,0.000356197,TRUE
10,8,random,0.000213623,FALSE
10,0,0,0.000267982,FALSE
10,20,k,0.000121117,TRUE
10,10,k/2,0.000267982,TRUE
10,20,random,0.000334024,TRUE
10,0,0,0.000330925,FALSE
10,23,k,0.000346899,TRUE
10,11,k/2,0.000227928,TRUE
10,19,random,0.000377178,TRUE
10,0,0,0.000209093,FALSE
10,21,k,0.00029397,TRUE
10,10,k/2,0.000167131,TRUE
10,15,random,0.000236034,TRUE
10,0,0,0.00031209,FALSE
10,29,k,0.000356913,TRUE
10,14,k/2,0.000324011,TRUE
10,25,random,0.000252962,TRUE
10,0,0,0.000184059,FALSE
10,21,k,0.000225067,TRUE
10,10,k/2,0.000368118,TRUE
10,12,random,0.000601053,TRUE
10,0,0,0.000206947,FALSE
10,27,k,0.000258923,TRUE
10,13,k/2,0.000393867,TRUE
10,13,random,0.00023818,TRUE
10,0,0,0.000184059,FALSE
10,23,k,0.000282049,TRUE
10,11,k/2,0.000275135,TRUE
10,9,random,0.000118971,FALSE
10,0,0,0.000422955,FALSE
10,19,k,0.000247002,TRUE
10,9,k/2,0.000404835,TRUE
10,3,random,0.000152111,FALSE
